fixed acidity;volatile acidity;citric acid;residual sugar;chlorides;free sulfur dioxide;total sulfur dioxide;density;pH;sulphates;alcohol;quality;great
07.апр;0.7;0;01.сен;0.076;11;34;0.9978;мар.51;0.56;09.апр;5;0
07.авг;0.88;0;02.июн;0.098;25;67;0.9968;03.фев;0.68;09.авг;5;0
07.авг;0.76;0.04;02.мар;0.092;15;54;0.997;мар.26;0.65;09.авг;5;0
11.фев;0.28;0.56;01.сен;0.075;17;60;0.998;мар.16;0.58;09.авг;6;1
07.апр;0.7;0;01.сен;0.076;11;34;0.9978;мар.51;0.56;09.апр;5;0
07.апр;0.66;0;01.авг;0.075;13;40;0.9978;мар.51;0.56;09.апр;5;0
07.сен;0.6;0.06;01.июн;0.069;15;59;0.9964;03.мар;0.46;09.апр;5;0
07.мар;0.65;0;01.фев;0.065;15;21;0.9946;мар.39;0.47;10;7;1
07.авг;0.58;0.02;2;0.073;9;18;0.9968;мар.36;0.57;09.май;7;1
07.май;0.5;0.36;06.янв;0.071;17;102;0.9978;мар.35;0.8;10.май;5;0
06.июл;0.58;0.08;01.авг;0.097;15;65;0.9959;мар.28;0.54;09.фев;5;0
07.май;0.5;0.36;06.янв;0.071;17;102;0.9978;мар.35;0.8;10.май;5;0
05.июн;0.615;0;01.июн;0.089;16;59;0.9943;мар.58;0.52;09.сен;5;0
07.авг;0.61;0.29;01.июн;0.114;9;29;0.9974;мар.26;янв.56;09.янв;5;0
08.сен;0.62;0.18;03.авг;0.176;52;145;0.9986;мар.16;0.88;09.фев;5;0
08.сен;0.62;0.19;03.сен;0.17;51;148;0.9986;мар.17;0.93;09.фев;5;0
08.май;0.28;0.56;01.авг;0.092;35;103;0.9969;03.мар;0.75;10.май;7;1
08.янв;0.56;0.28;01.июл;0.368;16;56;0.9968;03.ноя;янв.28;09.мар;5;0
07.апр;0.59;0.08;04.апр;0.086;6;29;0.9974;мар.38;0.5;9;4;0
07.сен;0.32;0.51;01.авг;0.341;17;56;0.9969;03.апр;01.авг;09.фев;6;1
08.сен;0.22;0.48;01.авг;0.077;29;60;0.9968;мар.39;0.53;09.апр;6;1
07.июн;0.39;0.31;02.мар;0.082;23;71;0.9982;мар.52;0.65;09.июл;5;0
07.сен;0.43;0.21;01.июн;0.106;10;37;0.9966;мар.17;0.91;09.май;5;0
08.май;0.49;0.11;02.мар;0.084;9;67;0.9968;мар.17;0.53;09.апр;5;0
06.сен;0.4;0.14;02.апр;0.085;21;40;0.9968;мар.43;0.63;09.июл;6;1
06.мар;0.39;0.16;01.апр;0.08;11;23;0.9955;мар.34;0.56;09.мар;5;0
07.июн;0.41;0.24;01.авг;0.08;4;11;0.9962;мар.28;0.59;09.май;5;0
07.сен;0.43;0.21;01.июн;0.106;10;37;0.9966;мар.17;0.91;09.май;5;0
07.янв;0.71;0;01.сен;0.08;14;35;0.9972;мар.47;0.55;09.апр;5;0
07.авг;0.645;0;2;0.082;8;16;0.9964;мар.38;0.59;09.авг;6;1
06.июл;0.675;0.07;02.апр;0.089;17;82;0.9958;мар.35;0.54;10.янв;5;0
06.сен;0.685;0;02.май;0.105;22;37;0.9966;мар.46;0.57;10.июн;6;1
08.мар;0.655;0.12;02.мар;0.083;15;113;0.9966;мар.17;0.66;09.авг;5;0
06.сен;0.605;0.12;10.июл;0.073;40;83;0.9993;мар.45;0.52;09.апр;6;1
05.фев;0.32;0.25;01.авг;0.103;13;50;0.9957;мар.38;0.55;09.фев;5;0
07.авг;0.645;0;05.май;0.086;5;18;0.9986;03.апр;0.55;09.июн;6;1
07.авг;0.6;0.14;02.апр;0.086;3;15;0.9975;мар.42;0.6;10.авг;6;1
08.янв;0.38;0.28;02.янв;0.066;13;30;0.9968;мар.23;0.73;09.июл;7;1
05.июл;янв.13;0.09;01.май;0.172;7;19;0.994;03.май;0.48;09.авг;4;0
07.мар;0.45;0.36;05.сен;0.074;12;87;0.9978;мар.33;0.83;10.май;5;0
07.мар;0.45;0.36;05.сен;0.074;12;87;0.9978;мар.33;0.83;10.май;5;0
08.авг;0.61;0.3;02.авг;0.088;17;46;0.9976;мар.26;0.51;09.мар;4;0
07.май;0.49;0.2;02.июн;0.332;8;14;0.9968;мар.21;0.9;10.май;6;1
08.янв;0.66;0.22;02.фев;0.069;9;23;0.9968;03.мар;01.фев;10.мар;5;0
06.авг;0.67;0.02;01.авг;0.05;5;11;0.9962;мар.48;0.52;09.май;5;0
04.июн;0.52;0.15;02.янв;0.054;8;65;0.9934;03.сен;0.56;13.янв;4;0
07.июл;0.935;0.43;02.фев;0.114;22;114;0.997;мар.25;0.73;09.фев;5;0
08.июл;0.29;0.52;01.июн;0.113;12;37;0.9969;мар.25;0.58;09.май;5;0
06.апр;0.4;0.23;01.июн;0.066;5;12;0.9958;мар.34;0.56;09.фев;5;0
05.июн;0.31;0.37;01.апр;0.074;12;96;0.9954;мар.32;0.58;09.фев;5;0
08.авг;0.66;0.26;01.июл;0.074;4;23;0.9971;мар.15;0.74;09.фев;5;0
06.июн;0.52;0.04;02.фев;0.069;8;15;0.9956;03.апр;0.63;09.апр;6;1
06.июн;0.5;0.04;02.янв;0.068;6;14;0.9955;мар.39;0.64;09.апр;6;1
08.июн;0.38;0.36;3;0.081;30;119;0.997;03.фев;0.56;09.апр;5;0
07.июн;0.51;0.15;02.авг;0.11;33;73;0.9955;мар.17;0.63;10.фев;6;1
07.июл;0.62;0.04;03.авг;0.084;25;45;0.9978;мар.34;0.53;09.май;5;0
10.фев;0.42;0.57;03.апр;0.07;4;10;0.9971;03.апр;0.63;09.июн;5;0
07.май;0.63;0.12;05.янв;0.111;50;110;0.9983;мар.26;0.77;09.апр;5;0
07.авг;0.59;0.18;02.мар;0.076;17;54;0.9975;мар.43;0.59;10;5;0
07.мар;0.39;0.31;02.апр;0.074;9;46;0.9962;мар.41;0.54;09.апр;6;1
